,material_name,formula,class,−ΔSm(H = 2T) (J kg⁻¹ K⁻¹),−ΔSm(H = 5T) (J kg⁻¹ K⁻¹),Curie temperature (K),source (experimental),−ΔSm(H = 2T) (J cm⁻³ K⁻¹),−ΔSm(H = 5T) (J cm⁻³ K⁻¹),energy of spin-polarization (eV/atom),"magnetic deformation (Σm), %",largest local moment (µB),gravimetric moment (emu/g),volumetric moment (emu/cm³),moment per atom (µB/atom),element carrying largest moment,average magnetic moment (µB),spin polarization at fermi level (%),nonmag. DOS at fermi level (states/eV/atom),nonmag. DOS at fermi level (states/eV/mag. ion),density (g/cm³),spacegroup number,spacegroup symbol,closest magnetic ion spacing (Å),number of unique magnetic sites,natoms,cid
108,MoMn2B4,MoMn2B4,boride,,,590.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",,,0.06471025571428564,1.0677810571510906,1.829,78.65173083933279,547.3252147122505,0.5010616999999999,Mn,1.75371595,-49.01209206594341,1.176521868131868,4.1178265384615385,6.95884513756358,71.0,Immm,2.704447855003745,1,7.0,108
109,WMn2B4,WMn2B4,boride,,,560.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",,,0.06159561142857127,1.1325265833680551,1.83,58.3638940831242,546.8468898465281,0.5030388285714286,Mn,1.7606359,-44.23618787170472,1.1961050838150242,4.186367793352585,9.369609386715815,71.0,Immm,2.7125164912011,1,7.0,109
110,TaMn2B4,TaMn2B4,boride,,,780.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.24.28"">http://dx.doi.org/10.1143/JPSJ.24.28</a>",,,0.08016865571428562,1.3979999318199998,2.05,66.7346856314899,599.8842728430469,0.5702499285714285,Mn,1.99587475,-38.07501740492062,0.7196555115738263,2.518794290508392,8.989092660983202,71.0,Immm,2.721620975446414,1,7.0,110
111,CrNiAs,CrNiAs,Fe2P,,,182.0,"<a href=""http://dx.doi.org/10.4028/www.scientific.net/MSF.443-444.379"">http://dx.doi.org/10.4028/www.scientific.net/MSF.443-444.379</a>",,,0.11638949666666715,2.3061950784948566,2.96,90.00328672423147,687.2268093595144,0.9970521666666667,Cr,2.9911565,51.300671224131044,1.5382453486666703,4.614736046000011,7.635574592571998,189.0,P-62m,3.269962204478484,1,9.0,111
112,CrNiP,CrNiP,Ni2In-TiNiSi,,,140.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",,,0.04705250916666633,1.8389908040386642,2.478,104.28116639637311,698.2900124811925,0.881695625,Cr,2.645086875,-47.06127193849557,1.0064867623896212,3.019460287168864,6.696223648160873,62.0,Pnma,2.944155145500465,1,12.0,112
113,FeCoP,FeCoP,Ni2In-TiNiSi,,,425.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",,,0.08726507749999968,2.1620503662075437,1.782,77.98099264029094,581.3287985805242,0.6783576416666667,Fe,1.0175364625,25.238043929607063,1.6513608080555524,2.4770412120833285,7.454749919151008,62.0,Pnma,2.5262679973989455,2,12.0,113
114,FeNiP,FeNiP,Fe2P,,,95.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",,,0.05464244111111169,0.6795262064967851,1.382,45.57456305038384,335.81950446144623,0.39580144444444443,Fe,1.1874043333333333,-67.71991789956698,2.120839698689466,6.3625190960683975,7.368573212434077,189.0,P-62m,3.0508629859013907,1,9.0,114
115,MnCoAs,MnCoAs,Ni2In-TiNiSi,,,350.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",,,0.20124497583333323,4.68948546996153,3.043,91.6708143824469,747.2601313171286,1.0329330583333334,Mn,3.098799175,-54.28747091636721,1.834947388869046,5.504842166607138,8.151559865057921,62.0,Pnma,3.008731240530137,1,12.0,115
116,FeCoAs,FeCoAs,Fe2P,,,300.0,"<a href=""http://dx.doi.org/10.1016/0022-4596(72)90139-9"">http://dx.doi.org/10.1016/0022-4596(72)90139-9</a>",,,0.1360114755555557,0.6793955497766972,2.13,64.53092228346021,549.3013010234101,0.7306178888888889,Fe,1.64389025,-52.714614511425026,2.5462909088194587,5.729154544843782,8.51221835340482,189.0,P-62m,2.719856790978419,2,9.0,116
117,MnCoSb,MnCoSb,half heusler,,,478.0,"<a href=""http://dx.doi.org/10.1070/PU1994v037n07ABEH000033"">http://dx.doi.org/10.1070/PU1994v037n07ABEH000033</a>",,,0.38172552666666704,0.9993437432277444,3.188,70.93844884702047,565.8071707126119,0.9976314333333334,Mn,2.9928943,100.0,2.8323812218320668,8.4971436654962,7.97602964131315,216.0,F-43m,4.109005594776605,1,3.0,117
118,MnPtSb,MnPtSb,half heusler,,,572.0,"<a href=""http://dx.doi.org/10.1070/PU1994v037n07ABEH000033"">http://dx.doi.org/10.1070/PU1994v037n07ABEH000033</a>",,,0.20311193666666702,0.013487633054389396,3.638,58.15247787046843,651.5100996993781,1.2903639,Mn,3.8710917,-72.7534664577331,2.1993651178215217,6.598095353464565,11.203479603235177,216.0,F-43m,4.271363421139625,1,3.0,118
119,MnPtSn,MnPtSn,half heusler,,,330.0,"<a href=""http://dx.doi.org/10.1070/PU1994v037n07ABEH000033"">http://dx.doi.org/10.1070/PU1994v037n07ABEH000033</a>",,,0.562480466666667,1.2976366342778518,3.751,55.547647834622026,569.1476436485423,1.2224528666666667,Mn,3.6673586,-27.069796934179713,3.3075878912568175,9.922763673770453,10.246116007342456,216.0,F-43m,4.3883901732535575,1,3.0,119
120,VCoSb,VCoSb,half heusler,,,58.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.32.91"">http://dx.doi.org/10.1143/JPSJ.32.91</a>",,,0.042400936666666666,0.24353215730278596,1.172,24.084200436812804,187.87727193057123,0.3329595,V,0.49943925,100.0,4.083415952452827,6.1251239286792405,7.800851534327875,216.0,F-43m,2.5205241473994073,2,3.0,120
121,MnPdSb,MnPdSb,half heusler,,,500.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.29.643"">http://dx.doi.org/10.1143/JPSJ.29.643</a>",,,0.23427362333333335,1.5213967779449176,3.245,66.28651707452981,540.0466902444734,1.1200781333333334,Mn,3.3602344,-18.142937398648325,2.7673737984495985,8.302121395348795,8.147157432291507,216.0,F-43m,4.337523527710087,1,3.0,121
122,TiCoSn,TiCoSn,half heusler,,,134.0,"<a href=""http://dx.doi.org/10.1088/0953-8984/7/37/010"">http://dx.doi.org/10.1088/0953-8984/7/37/010</a>",,,0.0004173100000007442,0.21204859081927646,0.605,9.194916522510214,59.79915611293564,0.12375693333333333,Co,0.3712708,-14.011536734901048,1.0423974113821137,3.1271922341463414,6.503501795425812,216.0,F-43m,4.334386830313017,1,3.0,122
123,MnPtGa,MnPtGa,Ni2In-TiNiSi,,,220.0,"<a href=""http://dx.doi.org/10.1016/0022-5088(84)90341-2"">http://dx.doi.org/10.1016/0022-5088(84)90341-2</a>",,,0.37033736499999986,2.4019571916952542,3.656,65.51357787968223,769.3299616949428,1.2502322833333335,Mn,3.75069685,-31.651248872119385,3.2809053709016354,9.842716112704906,11.74306131024994,194.0,P6_3/mmc,2.7675032799999997,1,6.0,123
124,BaFeO3,BaFeO3,oxide,,,110.0,"<a href=""10.1002/anie.201105276"">10.1002/anie.201105276</a>",,,0.21789451799999995,0.8124158724362596,2.992,83.81293498740725,538.0779072635855,0.72383822,Fe,3.6191911,-15.641939116433342,2.657306594929576,13.28653297464788,6.419986453695135,221.0,Pm-3m,3.9659406199999987,1,5.0,124
125,Fe2Zr,Fe2Zr,laves,,,600.0,"<a href=""http://dx.doi.org/10.1088/0953-8984/19/37/376202"">http://dx.doi.org/10.1088/0953-8984/19/37/376202</a>",,,0.1104299649999992,1.0110790457963676,1.973,84.27307661620193,657.4683901509844,1.0206020333333334,Fe,1.0206020333333334,-14.587717455979025,2.5009847429436114,2.5009847429436114,7.801642191672195,227.0,Fd-3m,2.480904386260146,2,6.0,125
126,Fe5C2,Fe5C2,close packed,,,519.0,"<a href=""http://dx.doi.org/10.1016/0025-5408(86)90135-2"">http://dx.doi.org/10.1016/0025-5408(86)90135-2</a>",,,0.08992480642857105,0.9351601973693614,2.132,153.23989339279873,1199.3622961556223,1.1886288785714285,Fe,1.6640804299999998,-36.91444319673353,1.7433293630877391,2.4406611083228347,7.826697536791581,15.0,C2/c,2.4615588066225453,3,14.0,126
127,Fe7C3,Fe7C3,close packed,,,523.0,"<a href=""http://dx.doi.org/10.1007/BF00550805"">http://dx.doi.org/10.1007/BF00550805</a>",,,0.0710591370000003,1.0198703477074018,2.025,151.26553306896804,1189.4566296827445,1.1563541750000002,Fe,1.6519345357142858,-44.18172171900417,1.5679902038385976,2.239986005483711,7.863368511982325,186.0,P6_3mc,2.4738935795793395,3,20.0,127
128,Co3Sn2S2,Co3Sn2S2,other,,,177.0,"<a href=""http://dx.doi.org/10.1007/BF00550805"">http://dx.doi.org/10.1007/BF00550805</a>",,,0.005620777142856882,0.020283322298463188,0.387,11.639231826656651,84.12273574731651,0.14241262857142858,Co,0.33229613333333335,100.0,1.4642871569924838,3.4166700329824624,7.227516128225502,166.0,R-3m,2.688957584724193,1,7.0,128
129,Ni3Al,Ni3Al,close packed,,,41.5,"<a href=""http://dx.doi.org/10.1143/JPSJ.55.3553"">http://dx.doi.org/10.1143/JPSJ.55.3553</a>",,,0.0039931150000001026,0.07722311886139889,0.333,22.162895065944248,165.58994251849532,0.201451925,Ni,0.26860256666666665,-66.74070914664046,1.429144575512046,1.905526100682728,7.4714942260834265,221.0,Pm-3m,2.5175314851497093,1,4.0,129
130,ZrZn2,ZrZn2,laves,,,17.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.55.3553"">http://dx.doi.org/10.1143/JPSJ.55.3553</a>",,,0.016888913333332905,0.008687280560699598,0.517,22.131135357274744,161.82365882980793,0.2932880666666667,Zr,0.8798642,-42.752461097451764,1.6588514873389437,4.976554462016831,7.312036017014136,227.0,Fd-3m,3.199479005340683,1,6.0,130
131,Au4V,Au4V,other,,,44.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.55.3553"">http://dx.doi.org/10.1143/JPSJ.55.3553</a>",,,0.06429530800000052,0.12056614247887405,1.814,12.723639966589912,208.21033445937783,0.38219116,V,1.9109558,65.77110780073781,2.008565632896979,10.042828164484897,16.364054233387797,87.0,I4/m,4.032382199999999,1,5.0,131
132,CrBe12,CrBe12,other,,,50.0,"<a href=""https://doi.org/10.1103/PhysRev.171.591"">https://doi.org/10.1103/PhysRev.171.591</a>",,,0.0060402323076922055,0.32064949084562455,1.678,47.3899637774618,118.00763856210497,0.10452636923076922,Cr,1.3588428,-30.781115813174146,0.22661725365630236,2.9460242975319306,2.490139876794509,139.0,I4/mmm,4.11891898,1,13.0,132
133,MnCo2Si,MnCo2Si,heusler,,,985.0,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",,,0.3634690524999993,0.7538006358879769,2.997,138.87378472943408,1042.408160602076,1.248806875,Mn,1.6650758333333335,100.0,3.8396378810483887,5.119517174731185,7.506155050306907,225.0,Fm-3m,2.434728534851193,2,4.0,133
134,MnCo2Sn,MnCo2Sn,heusler,,,829.0,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",,,0.43447291749999994,0.6066804180035962,3.208,96.49660103280992,875.3418658793784,1.259183175,Mn,1.6789109,75.44499867880428,5.986760574159695,7.982347432212927,9.071219675206512,225.0,Fm-3m,2.587826307065045,2,4.0,134
135,MnCo2Ga,MnCo2Ga,heusler,,,694.0,"<a href=""http://dx.doi.org/10.1080/00107516908204801"">http://dx.doi.org/10.1080/00107516908204801</a>",,,0.32374509000000007,0.4548250407009371,2.765,94.32185140415145,817.8729281714167,1.023976575,Mn,1.3653021,66.18463551057593,2.542386552971318,3.389848737295091,8.671086455533878,225.0,Fm-3m,2.470772633400256,2,4.0,135
136,MnCo2Ge,MnCo2Ge,heusler,,,905.0,"<a href=""http://dx.doi.org/10.1080/00107516908204802"">http://dx.doi.org/10.1080/00107516908204802</a>",,,0.39042697000000004,0.5872218289781519,3.064,113.68931766165325,988.0302162196377,1.24907835,Mn,1.6654378,99.44986582763259,4.227536401932695,5.6367152025769265,8.690616115403907,225.0,Fm-3m,2.4787793586876425,2,4.0,136
137,MnCu2Al,MnCu2Al,heusler,,,600.0,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",,,0.2749680974999995,1.1990899207043333,3.447,94.88025977762123,633.8384229655535,0.887693525,Mn,3.5507741,3.6699180461720755,1.0046545059776535,4.018618023910614,6.680403536532609,225.0,Fm-3m,4.1883591542288885,1,4.0,137
138,MnCu2In,MnCu2In,heusler,,,520.0,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",,,0.35862280499999954,1.1258413380668413,3.633,69.94215220282148,582.8356116469334,0.929372925,Mn,3.7174917,-9.358085290303771,0.10001445951388901,0.40005783805555606,8.333109481058003,225.0,Fm-3m,4.373512759714479,1,4.0,138
139,MnCu2Sn,MnCu2Sn,heusler,,,530.0,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",,,0.34582275250000016,1.4883636809497622,3.697,72.88578604655059,603.2660647224413,0.981185075,Mn,3.9247403,-30.659500149467,1.9011009421787723,7.604403768715089,8.276868473877036,225.0,Fm-3m,4.402470267328309,1,4.0,139
140,MnNi2In,MnNi2In,heusler,,,323.0,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",,,0.3554084074999997,0.2077480836179245,3.505,81.29721957724561,727.3520842497813,1.044938,Mn,1.3932506666666666,-30.548743708180442,4.068888966145836,5.425185288194448,8.94682607882645,225.0,Fm-3m,2.5867035830713254,2,4.0,140
141,MnNi2Sb,MnNi2Sb,heusler,,,360.0,"<a href=""http://dx.doi.org/10.1080/00107516908204800"">http://dx.doi.org/10.1080/00107516908204800</a>",,,0.35364441499999977,1.1161995989096372,3.584,75.55380055711474,664.9631899625197,0.9945939,Mn,3.9783756,-8.278090888536106,1.9509725088888763,7.803890035555505,8.801187829854332,225.0,Fm-3m,4.281196363185992,1,4.0,141
142,MnPd2Sn,MnPd2Sn,heusler,,,189.0,"<a href=""http://dx.doi.org/10.1080/00107516908204801"">http://dx.doi.org/10.1080/00107516908204801</a>",,,0.4898986525,1.0315434786598927,3.919,60.08136084002288,584.5761448716496,1.0394238,Mn,4.1576952,-12.572075426834486,3.6583740335897494,14.633496134358998,9.729742081378378,225.0,Fm-3m,4.535233044461447,1,4.0,142
143,MnPd2Sb,MnPd2Sb,heusler,,,247.0,"<a href=""http://dx.doi.org/10.1080/00107516908204802"">http://dx.doi.org/10.1080/00107516908204802</a>",,,0.5109155699999999,1.2917281746505211,3.989,62.011411840401884,595.2686099733303,1.0812804,Mn,4.3251216,-10.067696548779422,4.32946211102961,17.31784844411844,9.599339739359053,225.0,Fm-3m,4.567629495194899,1,4.0,143
144,TiCo2Sn,TiCo2Sn,heusler,,,371.0,"<a href=""http://dx.doi.org/10.1016/j.cap.2015.09.015"">http://dx.doi.org/10.1016/j.cap.2015.09.015</a>",,,0.04135189249999982,0.2505267168305273,1.055,39.36585807988014,330.7976290491085,0.501224625,Co,1.00244925,100.0,1.3447571237931002,2.6895142475862004,8.403160636759468,225.0,Fm-3m,3.0403535699999997,1,4.0,144
145,TiCo2Ge,TiCo2Ge,heusler,,,384.0,"<a href=""http://dx.doi.org/10.1016/j.cap.2015.09.015"">http://dx.doi.org/10.1016/j.cap.2015.09.015</a>",,,0.03727801500000005,0.20462792792889117,1.03,47.19427515168534,375.75530956202715,0.503574725,Co,1.00714945,6.01604497539466,1.4553194829885006,2.910638965977001,7.961883265593681,225.0,Fm-3m,2.9184596099999984,1,4.0,145
146,FeCo2Si,FeCo2Si,heusler,,,1015.0,"<a href=""http://dx.doi.org/10.1063/1.4932526"">http://dx.doi.org/10.1063/1.4932526</a>",,,0.30107868499999935,0.8299701401702443,2.779,148.87117780160042,1128.4997963123094,1.34475115,Fe,1.7930015333333333,-62.60608766690374,5.983146570555502,7.977528760740669,7.580377968234074,225.0,Fm-3m,2.4304024781516684,2,4.0,146
147,FeCo2Ge,FeCo2Ge,heusler,,,980.0,"<a href=""http://dx.doi.org/10.1063/1.4932526"">http://dx.doi.org/10.1063/1.4932526</a>",,,0.32332755000000013,0.8313364152202584,2.857,126.07413552852289,1102.03605505498,1.390265825,Fe,1.8536877666666667,-50.93781394230818,5.561713771220936,7.4156183616279145,8.741174789222777,225.0,Fm-3m,2.477034568646384,2,4.0,147
148,TiCo2Al,TiCo2Al,heusler,,,120.0,"<a href=""http://dx.doi.org/10.1063/1.4873020"">http://dx.doi.org/10.1063/1.4873020</a>",,,0.009583554999999855,0.12579861661006858,0.595,28.79415971980907,186.31569854696008,0.248391425,Co,0.49678285,50.82150476484624,1.366820225999996,2.733640451999992,6.47060724674606,225.0,Fm-3m,2.9133755499999996,1,4.0,148
149,VCo2Ga,VCo2Ga,heusler,,,358.0,"<a href=""http://dx.doi.org/10.1007/s10948-010-0933-3"">http://dx.doi.org/10.1007/s10948-010-0933-3</a>",,,0.04665634749999992,0.19054780386787404,0.93,46.841728079746815,389.5880578840079,0.5001432,Co,1.0002864,100.0,1.9263810584739665,3.852762116947933,8.317115398064402,225.0,Fm-3m,2.876936869999997,1,4.0,149
150,Fe3Si,Fe3Si,heusler,,,600.0,"<a href=""http://dx.doi.org/10.1143/JPSJ.18.797"">http://dx.doi.org/10.1143/JPSJ.18.797</a>",,,0.25443481749999997,0.7775870563414182,2.561,145.96531778622384,1082.8720867115733,1.2781472,Fe,1.7041962666666668,-45.63860304399302,3.4531202693945287,4.604160359192705,7.418694407239351,225.0,Fm-3m,2.4226980563519795,2,4.0,150
151,Fe3Ge-heusler,Fe3Ge,heusler,,,740.0,"<a href=""http://dx.doi.org/10.1088/0305-4608/6/11/015"">http://dx.doi.org/10.1088/0305-4608/6/11/015</a>",,,0.28202993499999973,0.8168499228734721,2.587,125.19779451441654,1076.9922261347976,1.345988375,Fe,1.7946511666666665,-39.63929041166202,3.1504278513541633,4.200570468472217,8.602325866138017,225.0,Fm-3m,2.4693025206363153,2,4.0,151
152,VCo2Sn,VCo2Sn,heusler,,,95.0,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",,,0.05897295250000045,0.27350926742625375,1.05,57.27105416118628,503.7794590333535,0.737083825,Co,0.9827784333333334,53.522406056304696,2.3570057473684263,3.1426743298245685,8.796406254641193,225.0,Fm-3m,2.6024967427641363,2,4.0,152
153,CrCo2Ga,CrCo2Ga,heusler,,,495.0,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",,,0.13117343749999932,0.23405975637570742,1.614,70.46594902512669,601.8651544403546,0.755712575,Cr,1.0076167666666667,94.10097430374522,4.499651752252227,5.999535669669636,8.541219734736588,225.0,Fm-3m,2.473150444710414,2,4.0,153
154,CrCo2Al,CrCo2Al,heusler,,,334.0,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",,,0.1247747050000001,0.343763018426347,1.554,85.15776058446308,600.9817957058477,0.750349,Cr,1.0004653333333333,100.0,6.165740615833339,8.220987487777785,7.057275714874729,225.0,Fm-3m,2.4684938520950266,2,4.0,154
155,MnCo2Al,MnCo2Al,heusler,,,697.0,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",,,0.31238972500000006,0.45803269860365153,2.702,112.60076686384554,811.5182709318692,1.0069854,Mn,1.3426472,57.16050968710685,2.742764039682536,3.657018719576715,7.207040356244997,225.0,Fm-3m,2.4634268846818026,2,4.0,155
156,VMn2Al,VMn2Al,heusler,,,760.0,"<a href=""http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif"">http://dx.doi.org/10.1103/PhysRevB.76.024414Co2CrGa.cif</a>",,,0.058542577499999915,0.3774339122070746,1.418,59.47395362408514,379.33043548946114,0.49996225,Mn,0.6666163333333334,-96.57638173612104,1.5129566743870968,2.0172755658494625,6.378093474112739,225.0,Fm-3m,2.5134556567139716,2,4.0,156
157,ZrCo2Sn,ZrCo2Sn,heusler,,,448.0,"<a href=""http://dx.doi.org/10.1016/0304-8853(83)90079-3"">http://dx.doi.org/10.1016/0304-8853(83)90079-3</a>",,,0.04531755749999977,0.24258572389384614,1.076,34.05101275199825,299.7793703910679,0.499639,Co,0.999278,100.0,1.2762372350840288,2.5524744701680575,8.803831256780333,225.0,Fm-3m,3.1384769999999973,1,4.0,157
158,HfCo2Sn,HfCo2Sn,heusler,,,394.0,"<a href=""http://dx.doi.org/10.1016/0304-8853(83)90079-3"">http://dx.doi.org/10.1016/0304-8853(83)90079-3</a>",,,0.03502003000000009,0.24625714980837418,1.064,26.88578496442461,304.11973127857186,0.499524875,Co,0.99904975,13.09997975856803,1.1761279902469126,2.3522559804938252,11.31154369050353,225.0,Fm-3m,3.1232369099999975,1,4.0,158
159,NbCo2Sn,NbCo2Sn,heusler,,,105.0,"<a href=""http://dx.doi.org/10.1016/0304-8853(83)90079-3"">http://dx.doi.org/10.1016/0304-8853(83)90079-3</a>",,,0.023800707500000406,0.13106843756307832,0.853,28.982902626440833,270.03327269917696,0.427456,Co,0.854912,-75.04513293419271,1.9881368618902289,3.9762737237804577,9.316985126701152,225.0,Fm-3m,3.0850257999999995,1,4.0,159
160,CrFe2Al,CrFe2Al,heusler,,,210.0,"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91292-8"">http://dx.doi.org/10.1016/0038-1098(76)91292-8</a>",,,0.001685544999999955,0.17953416463880023,0.227,5.037019428424389,35.272144228054046,0.04299,Cr,0.05732,38.21549252111646,1.7567778318321166,2.342370442442822,7.0025825250960745,225.0,Fm-3m,2.4487432247747933,2,4.0,160
161,Fe3Al,Fe3Al,heusler,,,400.0,"<a href=""http://dx.doi.org/10.1016/0038-1098(76)91292-8"">http://dx.doi.org/10.1016/0038-1098(76)91292-8</a>",,,0.23794185750000008,1.2331755692847053,2.405,169.867114001277,1168.87640209121,1.479049375,Fe,1.9720658333333334,-51.719821070853925,2.82531689454548,3.7670891927273065,6.881122393604819,225.0,Fm-3m,2.4795302633345027,2,4.0,161
162,MnGeP2,MnGeP2,chalcopyrite,,,320.0,"<a href=""http://dx.doi.org/10.1016/j.ssc.2003.11.040"">http://dx.doi.org/10.1016/j.ssc.2003.11.040</a>",,,0.05495536000000012,1.5886960535722607,3.149,98.9279476849902,388.93609491235173,0.83927375,Mn,3.357095,-1.1571045955292425,1.118574537968751,4.474298151875004,3.931508780014476,122.0,I-42d,3.824276736679514,1,8.0,162
163,MnGeAs2,MnGeAs2,chalcopyrite,,,340.0,"<a href=""http://dx.doi.org/10.1016/j.ssc.2003.11.040"">http://dx.doi.org/10.1016/j.ssc.2003.11.040</a>",,,0.17869926125000024,1.8236016963423618,3.76,83.5708485510906,404.68873343211067,1.0377944875,Mn,4.15117795,-27.869414055475968,1.2731524942299135,5.092609976919654,4.842462897629983,122.0,I-42d,4.0607432623608855,1,8.0,163
164,HgCr2S4,HgCr2S4,spinel,,,36.0,"<a href=""http://dx.doi.org/10.1109/TMAG.1969.1066666"">http://dx.doi.org/10.1109/TMAG.1969.1066666</a>",,,0.3578810292857142,1.2313728462648932,2.933,77.31786753463503,403.81975979138815,0.8560285428571428,Cr,2.9960999,96.14623631545051,1.70904110922207,5.981643882277245,5.222851750411954,227.0,Fd-3m,3.650693153682217,1,14.0,164
165,HgCr2Se4,HgCr2Se4,spinel,,,106.0,"<a href=""http://dx.doi.org/10.1109/TMAG.1969.1066666"">http://dx.doi.org/10.1109/TMAG.1969.1066666</a>",,,0.3908253764285711,1.129453278784536,3.013,53.931435706201356,344.58249592686275,0.8558705714285715,Cr,2.995547,99.29076682538536,2.2793209902357146,7.977623465825001,6.389269846328986,227.0,Fd-3m,3.848694139848777,1,14.0,165
